USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
1.23084341562707E+018,Webcoupers,1422,"Meet @wolefanegan the Head of the Design Team.

When he’s not watching movies or studying about design, he’s cookin… https://t.co/AeKyu8jdE6",2020-02-21 13:15:12,0,0,NEGATIVE,"b'Meet @wolefanegan the Head of the Design Team.\n\nWhen he\xe2\x80\x99s not watching movies or studying about design, he\xe2\x80\x99s cookin\xe2\x80\xa6 https://t.co/AeKyu8jdE6'"
1.23080512060413E+018,LadeKale,2779,"RT @AbiolaSeriki_: Next Friday, I’ll be moderating a @SMWLagos panel session hosted by @webcoupers 

The session is focused on Human-Center…",2020-02-21 10:43:02,0,0,NEGATIVE,"b'RT @AbiolaSeriki_: Next Friday, I\xe2\x80\x99ll be moderating a @SMWLagos panel session hosted by @webcoupers \n\nThe session is focused on Human-Center\xe2\x80\xa6'"
1.23080451042093E+018,AbiolaSeriki_,751,"Next Friday, I’ll be moderating a @SMWLagos panel session hosted by @webcoupers 

The session is focused on Human-C… https://t.co/k7gXnkYStJ",2020-02-21 10:40:37,0,0,NEGATIVE,"b'Next Friday, I\xe2\x80\x99ll be moderating a @SMWLagos panel session hosted by @webcoupers \n\nThe session is focused on Human-C\xe2\x80\xa6 https://t.co/k7gXnkYStJ'"
1.23024445445343E+018,Uncledrew_louis,1734,"RT @TitoOfLagos: Earlier today @Webcoupers workshop, I had fun and I learnt a lot. Thanks for the opportunity 

Outfit made by me

Shoes by…",2020-02-19 21:35:09,0.166666666666667,0.3,NEUTRAL,"b'RT @TitoOfLagos: Earlier today @Webcoupers workshop, I had fun and I learnt a lot. Thanks for the opportunity \n\nOutfit made by me\n\nShoes by\xe2\x80\xa6'"
1.23024436736291E+018,TitoOfLagos,9759,"RT @TitoOfLagos: Earlier today @Webcoupers workshop, I had fun and I learnt a lot. Thanks for the opportunity 

Outfit made by me

Shoes by…",2020-02-19 21:34:48,0.166666666666667,0.3,NEUTRAL,"b'RT @TitoOfLagos: Earlier today @Webcoupers workshop, I had fun and I learnt a lot. Thanks for the opportunity \n\nOutfit made by me\n\nShoes by\xe2\x80\xa6'"
1.23005719796879E+018,demorinsola,743,"RT @Webcoupers: @AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.

Her and the panellists will be discussing…",2020-02-19 09:11:04,0,0,NEGATIVE,b'RT @Webcoupers: @AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.\n\nHer and the panellists will be discussing\xe2\x80\xa6'
1.2300560502017E+018,AbiolaSeriki_,751,"RT @Webcoupers: @AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.

Her and the panellists will be discussing…",2020-02-19 09:06:30,0,0,NEGATIVE,b'RT @Webcoupers: @AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.\n\nHer and the panellists will be discussing\xe2\x80\xa6'
1.2300454364147E+018,Webcoupers,1422,"@AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.

Her and the panellists will be di… https://t.co/VLQy8CUkS0",2020-02-19 08:24:19,0,0,NEGATIVE,b'@AbiolaSeriki_  will be the Moderator at Webcoupers #SMWLAGOS2020 panel session.\n\nHer and the panellists will be di\xe2\x80\xa6 https://t.co/VLQy8CUkS0'
1.22984987545138E+018,johnnyphlow,369,@Webcoupers Yea so what should be expected after the personality profiler test,2020-02-18 19:27:14,-0.1,0.4,NEGATIVE,b'@Webcoupers Yea so what should be expected after the personality profiler test'
1.2298041872041E+018,Apholabi_,1770,"RT @Nectar_treats: Our new website is a week old🥳🥳🥳 and we have successfully completed (delivered )over 100 ‼️‼️‼️orders🥳

We are grateful…",2020-02-18 16:25:41,0.443181818181818,0.702272727272727,POSITIVE,b'RT @Nectar_treats: Our new website is a week old\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3 and we have successfully completed (delivered )over 100 \xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8forders\xf0\x9f\xa5\xb3\n\nWe are grateful\xe2\x80\xa6'
1.22979834294479E+018,Webcoupers,1422,"Focused, driven, and refuses to be outworked. These are a few ways one could describe our Hr, Anjola Ayodele 

Join… https://t.co/yyiIWFjO7F",2020-02-18 16:02:28,-0.2,0.1,NEGATIVE,"b'Focused, driven, and refuses to be outworked. These are a few ways one could describe our Hr, Anjola Ayodele \n\nJoin\xe2\x80\xa6 https://t.co/yyiIWFjO7F'"
1.22939151464153E+018,Webcoupers,1422,"‘Learning is not attained by chance, It must be sought for with ardour and attended to with diligence.’- Abigail Ad… https://t.co/KWkgKA22TP",2020-02-17 13:05:52,0,0,NEGATIVE,"b'\xe2\x80\x98Learning is not attained by chance, It must be sought for with ardour and attended to with diligence.\xe2\x80\x99- Abigail Ad\xe2\x80\xa6 https://t.co/KWkgKA22TP'"
USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
