USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
1230246511918927873,aneeta_jackson,189,"RT @HapticsNG: -Web UX for Marketing Acquisition &amp; Conversion 
  Optimization
-Pay Per Click Advertising (PPC)
-Data Analysis/Reporting
-Di…",2020-02-19 21:43:19,0.0,0.0,NEGATIVE,b'RT @HapticsNG: -Web UX for Marketing Acquisition &amp; Conversion \n  Optimization\n-Pay Per Click Advertising (PPC)\n-Data Analysis/Reporting\n-Di\xe2\x80\xa6'
1230153675181522945,LeonardoOkpeh,527,"RT @HapticsNG: We Live! We Love! We Learn!

It was a weekend filled with nous, joy and laughter!

How did your weekend turn out?

#HapticsN…",2020-02-19 15:34:25,0.5879261363636363,0.55,POSITIVE,"b'RT @HapticsNG: We Live! We Love! We Learn!\n\nIt was a weekend filled with nous, joy and laughter!\n\nHow did your weekend turn out?\n\n#HapticsN\xe2\x80\xa6'"
1230149140505649153,aneeta_jackson,189,"RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies

While this training has been s…",2020-02-19 15:16:24,0.0,0.3333333333333333,NEGATIVE,b'RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies\n\nWhile this training has been s\xe2\x80\xa6'
1230099804337954816,the_oyindasola,455,"RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies

While this training has been s…",2020-02-19 12:00:22,0.0,0.3333333333333333,NEGATIVE,b'RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies\n\nWhile this training has been s\xe2\x80\xa6'
1230099676021612544,AdewumiHaas,1071,"RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies

While this training has been s…",2020-02-19 11:59:51,0.0,0.3333333333333333,NEGATIVE,b'RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies\n\nWhile this training has been s\xe2\x80\xa6'
1230091713861029891,saminu_me,2189,"RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies

While this training has been s…",2020-02-19 11:28:13,0.0,0.3333333333333333,NEGATIVE,b'RT @HapticsNG: Our equipped trainers will be delivering extensive training based on their core competencies\n\nWhile this training has been s\xe2\x80\xa6'
1230065342740934656,AdewumiHaas,1071,@adeyairmie @oaucampusconect @HapticsNG Great,2020-02-19 09:43:25,0.8,0.75,POSITIVE,b'@adeyairmie @oaucampusconect @HapticsNG Great'
1230059024848166912,adeyairmie,537,@AdewumiHaas @oaucampusconect Thank you so much. I have already taken this training with @HapticsNG,2020-02-19 09:18:19,0.2,0.2,NEUTRAL,b'@AdewumiHaas @oaucampusconect Thank you so much. I have already taken this training with @HapticsNG'
1230053249258004481,HapticsNG,582,"-Web UX for Marketing Acquisition &amp; Conversion 
  Optimization
-Pay Per Click Advertising (PPC)
-Data Analysis/Repo… https://t.co/gE9ZSwpKLf",2020-02-19 08:55:22,0.0,0.0,NEGATIVE,b'-Web UX for Marketing Acquisition &amp; Conversion \n  Optimization\n-Pay Per Click Advertising (PPC)\n-Data Analysis/Repo\xe2\x80\xa6 https://t.co/gE9ZSwpKLf'
1230053224993951744,HapticsNG,582,"Our equipped trainers will be delivering extensive training based on their core competencies

While this training h… https://t.co/n2yzQBCh02",2020-02-19 08:55:16,0.0,0.3333333333333333,NEGATIVE,b'Our equipped trainers will be delivering extensive training based on their core competencies\n\nWhile this training h\xe2\x80\xa6 https://t.co/n2yzQBCh02'
1229987150843797504,AppsProfit,668,"RT @HapticsNG: We Live! We Love! We Learn!

It was a weekend filled with nous, joy and laughter!

How did your weekend turn out?

#HapticsN…",2020-02-19 04:32:43,0.5879261363636363,0.55,POSITIVE,"b'RT @HapticsNG: We Live! We Love! We Learn!\n\nIt was a weekend filled with nous, joy and laughter!\n\nHow did your weekend turn out?\n\n#HapticsN\xe2\x80\xa6'"
1229876142728982538,AwayeOluwatobi,459,"RT @HapticsNG: We Live! We Love! We Learn!

It was a weekend filled with nous, joy and laughter!

How did your weekend turn out?

#HapticsN…",2020-02-18 21:11:37,0.5879261363636363,0.55,POSITIVE,"b'RT @HapticsNG: We Live! We Love! We Learn!\n\nIt was a weekend filled with nous, joy and laughter!\n\nHow did your weekend turn out?\n\n#HapticsN\xe2\x80\xa6'"
